i,param,level,T_M,T_L,is_base
1,c_buy,-0.3,120.0,540.0,False
1,c_buy,-0.1,80.0,450.0,True
1,c_buy,0.3,60.0,450.0,False
1,c_m,-0.3,60.0,450.0,False
1,c_m,-0.2,80.0,450.0,True
1,c_m,0.2,120.0,540.0,False
3,c_m,-0.3,80.0,540.0,False
3,c_m,-0.2,90.0,540.0,True
5,c_buy,-0.3,80.0,720.0,False
5,c_buy,-0.2,70.0,720.0,False
5,c_buy,-0.1,60.0,720.0,True
5,c_buy,0.3,50.0,240.0,False
5,c_m,-0.3,50.0,720.0,False
5,c_m,-0.2,60.0,720.0,True
5,c_m,0.3,80.0,720.0,False
5,c_l,-0.3,60.0,240.0,False
5,c_l,-0.2,60.0,720.0,True
7,c_buy,-0.3,100.0,720.0,True
7,c_buy,0.3,80.0,720.0,False
7,c_m,-0.3,80.0,720.0,False
7,c_m,-0.2,100.0,720.0,True
8,c_buy,-0.3,80.0,300.0,True
8,c_buy,0.1,60.0,300.0,False
8,c_m,-0.3,50.0,300.0,False
8,c_m,-0.2,60.0,300.0,False
8,c_m,0.0,80.0,300.0,True
9,c_buy,-0.3,90.0,540.0,True
9,c_buy,0.1,70.0,300.0,False
9,c_buy,0.2,60.0,300.0,False
9,c_m,-0.3,60.0,300.0,False
9,c_m,-0.2,70.0,540.0,False
9,c_m,-0.1,90.0,540.0,True
9,c_l,-0.3,80.0,300.0,False
9,c_l,-0.1,90.0,540.0,True
10,c_buy,-0.3,50.0,inf,False
10,c_buy,-0.2,50.0,240.0,True
10,c_buy,0.2,40.0,240.0,False
10,c_buy,0.3,40.0,180.0,False
10,c_m,-0.3,40.0,240.0,False
10,c_m,-0.1,50.0,240.0,True
10,c_l,-0.3,50.0,240.0,True
10,c_l,0.2,40.0,inf,False
